gtaa,wikidata,label,description,lookup,bengwiki
81919,Q920,J. Bernlef,"schrijver, dichter, vertaler","ஜெ. பெர்ன்லெஃப்,Bernlef,Й. Бернлеф,J. Bernlef,J・ベルンレフ,S. den Haan,Cas de Vries,Hendrik Jan Marsman,Хендрик Ян Марсман,Cas den Haan,J. ベルンレフ,J. Grauw,Ronnie Appelman,J. Bernlef J. Bernlef - Bernlef, J. ",Bernlef
134822,Q927,Harry Mulisch,schrijver,"Harry Mulisch,ஆரி முலிச்,Հարի Մուլիշ,Гаррі Муліш,हैरी मुलिश,هاري موليسش,Гары Муліш,哈里·穆里施,Χάρι Μούλις,하리 뮐리스,Hari Muliš,هری مولیش,ハリー・ムリシュ,Harijs Mulišs,הארי מוליש,Хари Мулиш,Хари Мюлиш,Henricus Mulisch,Харри Мулиш,Harry Kurt Victor Mulisch Harry Mulisch - Mulisch, Harry ","Mulisch,_Harry"
95497,Q13407,Willem Duys,radio- en tv-presentator,"Willem Duys Willem Duys - Duys, Willem Willem Duys",Willem_Duys
86655,Q17163,Johan Cruijff,"lid RvC Ajax, oprichter Cruyff Foundation en University, voetbaldeskundige, trainer, voetballer","요한 크라위프,യൊഹാൻ ക്രൈഫ്,Йохан Кройф,Γιόχαν Κρόιφ,ইয়োহান ক্রুইফ,Johan Cruijff,Ýohan Kruiýf,Yohan Kroyff,يوهان كرويف,یوهان کرایف,Јохан Кројф,Кройф, Йохан,யோகன் கிரையொஃப்,Йогьан Кройф,โยฮัน ไกรฟฟ์,იოჰან კრუიფი,Іохан Кройф,Йоган Кройф,约翰·克鲁伊夫,Ioannes Cruyff,Յոհան Կրոյֆ,یۆھان کرۆیف,Johan Cruyff,Johans Kruifs,יוהאן קרויף,ヨハン・クライフ,Hendrik Johannes Cruijff,Cruyff,Йохан Кройф Johan Cruijff - Cruijff, Johan ","Cruijff,_Johan"
86655,Q17163,Johan Cruyff,"lid RvC Ajax, oprichter Cruyff Foundation en University, voetbaldeskundige, trainer, voetballer","요한 크라위프,യൊഹാൻ ക്രൈഫ്,Йохан Кройф,Γιόχαν Κρόιφ,ইয়োহান ক্রুইফ,Johan Cruijff,Ýohan Kruiýf,Yohan Kroyff,يوهان كرويف,یوهان کرایف,Јохан Кројф,Кройф, Йохан,யோகன் கிரையொஃப்,Йогьан Кройф,โยฮัน ไกรฟฟ์,იოჰან კრუიფი,Іохан Кройф,Йоган Кройф,约翰·克鲁伊夫,Ioannes Cruyff,Յոհան Կրոյֆ,یۆھان کرۆیف,Johan Cruyff,Johans Kruifs,יוהאן קרויף,ヨハン・クライフ,Hendrik Johannes Cruijff,Cruyff,Йохан Кройф Johan Cruyff - Cruijff, Johan ","Cruijff,_Johan"
158216,Q24917,Joop Stokkermans,pianist,"Joop Stokkermans Joop Stokkermans - Stokkermans, Joop Joop Stokkermans",Joop_Stokkermans
111477,Q31719,Mariska Hulscher,presentatrice,"Mariska Hulscher,Anna Margaretha van der Klis Mariska Hulscher - Hulscher, Mariska ","Hulscher,_Mariska"
105875,Q36771,Herman Heijermans,toneelschrijver,"היארמנס, הרמן,Герман Гейерманс,Herman Heijermans,Герман Геєрманс,Heijermans,Гейєрманс Герман,Герман Гейєрманс,Гейерманс Герман,Samuel Falkland,Koos Habbema Herman Heijermans - Heijermans, Herman ","Heijermans,_Herman"
165834,Q46104,Leo Visser,schaatser,"Leo Visser,Лео Виссер,Фиссер,Фиссер Л.,Лео Фиссер,Visser,Фиссер Лео,Фиссер, Лео Leo Visser - Visser, Leo ","Visser,_Leo"
165807,Q46424,Henk Visser,atleet,"Henk Visser Henk Visser - Visser, Henk ","Visser,_Henk"
100241,Q55621,Géza Frid,"componist, dirigent en pianist","Frid Géza,Géza Frid Géza Frid - Frid, Géza ","Frid,_G%C3%A9za"
